task,best_epoch,best_val_psnr,test_psnr,test_ssim,checkpoint_size_bytes,checkpoint_sha256
backbone_pcnn_S2,132,39.4489278271,38.947829,0.951102,117539873,ed9091c96450fae846991e3a651edb062fdb165c718b43acfff65036521e714f
backbone_pcnn_S4,143,37.5653437714,37.227252,0.933325,117539873,16159af902c5d85457d5e23b52df91ced18a0935b45cdacdaeede81376f4142a
backbone_pcnn_S8,224,36.2730245448,36.362213,0.925792,117539873,5b75ca5ad745382574f4d0f5b294f4ba3d4daec5617381240e0f9612408bee10
backbone_pswin_S2,54,38.8062023808,38.312684,0.947519,494276416,60cf94632b6ce101d7017e0adf0879b8c6557e5bd23a522b530a815443f43fd2
backbone_pswin_S4,50,36.8215202313,36.464894,0.928912,494276416,9fddad5b8738d7b52bf8fae8a59174bc2c562503ac3864c2190698b645672188
backbone_pswin_S8,399,35.5261981452,35.666834,0.920147,494276416,d364e84b62eff1530e2cc0a77636293e1817017c36e6b88a38ff60c5a8fbb724
backbone_irestor_S2,165,35.8483112526,36.012912,0.922205,124755538,fd7c90c0f24877ff52325e8f943078560d0cd5f08f4857b601a206128d64a1ec
backbone_irestor_S4,163,32.7488855743,33.277811,0.885570,124755538,9c48796968bad3f64fbc01fcb8c7b07219e2475eac6c3f264b8da960b3e81ef5
backbone_irestor_S8,397,32.6375803566,34.345245,0.896126,124755538,e5ee5067ae05672668d951567c46ddaa2f17904fba4d83ab5313815591f3ef00
backbone_icnn_S2,130,35.9719943810,36.186603,0.922088,66205473,976c54da3ef2592043adb6cb4cb4c32d425294ad6a92fb915651a4a64160c979
backbone_icnn_S4,339,30.5094928314,31.052117,0.851471,66205473,70cb226098c46d8b0b202ff58fb5cc1f0867ab519162dae5f3e085114ba83637
backbone_icnn_S8,213,30.5594688956,31.287416,0.851834,66205473,8e52504cf27253093802acf662ef3e3bea757bfbaa9fdb97c01027746f2a97b0
backbone_mixed_S2,176,37.8176259567,38.062739,0.943290,447793904,ab46784c912ae8cb8d9f42e0ee76b9289c068f8862414d3c34a13f8ae678278f
backbone_mixed_S4,181,35.7330108187,36.053196,0.921183,447793904,ff2eca615d7deb56a86c7101ed2a9d6d58d4f57556e7a718d1a3fc111366e73f
backbone_mixed_S8,102,32.5464563038,32.922539,0.877920,447793904,fe94634b23de1e9b8464d8ea2aa1831b6130825f93327cc6e1e693fdfb1fe77d
