variant,projection_backbone,image_backbone,sparse_factor,views,test_psnr,test_ssim,result_source,num_test_slices
P-CNN,ResUNet,NAFNet,2,180,38.947829,0.951102,recomputed_reviewer21_corrected_v2,200
P-CNN,ResUNet,NAFNet,4,90,37.227252,0.933325,recomputed_reviewer21_corrected_v2,200
P-CNN,ResUNet,NAFNet,8,45,36.362213,0.925792,recomputed_reviewer21_corrected_v2,200
P-CNN,ResUNet,NAFNet,12,30,35.400000,0.910000,previously_reported_matched_S12,200
P-Swin,SwinIR,NAFNet,2,180,38.312684,0.947519,recomputed_reviewer21_corrected_v2,200
P-Swin,SwinIR,NAFNet,4,90,36.464894,0.928912,recomputed_reviewer21_corrected_v2,200
P-Swin,SwinIR,NAFNet,8,45,35.666834,0.920147,recomputed_reviewer21_corrected_v2,200
P-Swin,SwinIR,NAFNet,12,30,31.870000,0.865000,previously_reported_matched_S12,200
I-CNN,ViewTrans,RED-CNN,2,180,36.186603,0.922088,recomputed_reviewer21_corrected_v2,200
I-CNN,ViewTrans,RED-CNN,4,90,31.052117,0.851471,recomputed_reviewer21_corrected_v2,200
I-CNN,ViewTrans,RED-CNN,8,45,31.287416,0.851834,recomputed_reviewer21_corrected_v2,200
I-CNN,ViewTrans,RED-CNN,12,30,29.020000,0.791000,previously_reported_matched_S12,200
I-Restor,ViewTrans,Restormer,2,180,36.012912,0.922205,recomputed_reviewer21_corrected_v2,200
I-Restor,ViewTrans,Restormer,4,90,33.277811,0.885570,recomputed_reviewer21_corrected_v2,200
I-Restor,ViewTrans,Restormer,8,45,34.345245,0.896126,recomputed_reviewer21_corrected_v2,200
I-Restor,ViewTrans,Restormer,12,30,32.460000,0.864000,previously_reported_matched_S12,200
Mixed,SwinIR,RED-CNN,2,180,38.062739,0.943290,recomputed_reviewer21_corrected_v2,200
Mixed,SwinIR,RED-CNN,4,90,36.053196,0.921183,recomputed_reviewer21_corrected_v2,200
Mixed,SwinIR,RED-CNN,8,45,32.922539,0.877920,recomputed_reviewer21_corrected_v2,200
Mixed,SwinIR,RED-CNN,12,30,26.870000,0.729000,previously_reported_matched_S12,200
DDF,ViewTrans,NAFNet,2,180,39.300000,0.954000,full_model_reference,200
DDF,ViewTrans,NAFNet,4,90,37.250000,0.934000,full_model_reference,200
DDF,ViewTrans,NAFNet,8,45,37.440000,0.938000,full_model_reference,200
DDF,ViewTrans,NAFNet,12,30,36.710000,0.931000,full_model_reference,200
