"task","sparse_factor","slice_index","psnr","ssim"
"module_no_ct_S2","2","0","32.90028381347656","0.8919527530670166"
"module_no_ct_S2","2","1","32.178428649902344","0.8762120008468628"
"module_no_ct_S2","2","2","34.764610290527344","0.9169626832008362"
"module_no_ct_S2","2","3","34.31513214111328","0.9228166341781616"
"module_no_ct_S2","2","4","34.678531646728516","0.9167342782020569"
"module_no_ct_S2","2","5","34.028160095214844","0.9166617393493652"
"module_no_ct_S2","2","6","33.054317474365234","0.8631283640861511"
"module_no_ct_S2","2","7","28.364131927490234","0.8368178606033325"
"module_no_ct_S2","2","8","33.835960388183594","0.9198124408721924"
"module_no_ct_S2","2","9","34.2374267578125","0.9185481071472168"
"module_no_ct_S2","2","10","33.667606353759766","0.916899561882019"
"module_no_ct_S2","2","11","33.088924407958984","0.8940635323524475"
"module_no_ct_S2","2","12","32.40684127807617","0.8228490352630615"
"module_no_ct_S2","2","13","33.23461151123047","0.9007129669189453"
"module_no_ct_S2","2","14","32.22130584716797","0.8685928583145142"
"module_no_ct_S2","2","15","32.0567626953125","0.8583990931510925"
"module_no_ct_S2","2","16","34.19536209106445","0.9168555736541748"
"module_no_ct_S2","2","17","34.69580078125","0.9114856719970703"
"module_no_ct_S2","2","18","32.35829162597656","0.8774659633636475"
"module_no_ct_S2","2","19","31.976844787597656","0.86232590675354"
"module_no_ct_S2","2","20","32.771446228027344","0.8845726251602173"
"module_no_ct_S2","2","21","34.14359664916992","0.8931944370269775"
"module_no_ct_S2","2","22","34.03948211669922","0.9205353856086731"
"module_no_ct_S2","2","23","32.382904052734375","0.8833332657814026"
"module_no_ct_S2","2","24","33.02149200439453","0.8917765021324158"
"module_no_ct_S2","2","25","33.079078674316406","0.8828229904174805"
"module_no_ct_S2","2","26","27.599077224731445","0.8118103742599487"
"module_no_ct_S2","2","27","32.640262603759766","0.8698674440383911"
"module_no_ct_S2","2","28","34.199859619140625","0.9233673810958862"
"module_no_ct_S2","2","29","33.37551498413086","0.9033219218254089"
"module_no_ct_S2","2","30","34.95414352416992","0.9119185209274292"
"module_no_ct_S2","2","31","32.854339599609375","0.8880431056022644"
"module_no_ct_S2","2","32","33.32973861694336","0.8693609237670898"
"module_no_ct_S2","2","33","32.84854507446289","0.8782699108123779"
"module_no_ct_S2","2","34","33.208946228027344","0.8960103988647461"
"module_no_ct_S2","2","35","31.877595901489258","0.8621383309364319"
"module_no_ct_S2","2","36","34.63976287841797","0.9205833673477173"
"module_no_ct_S2","2","37","27.415794372558594","0.7840666174888611"
