sparse_factor,method,n,rmse_mean,mae_mean
2,sparse_fbp,200,0.055276169031858446,0.027960548754781486
2,redcnn,200,0.05463895604014397,0.027764293663203717
2,dudotrans,200,0.013293138607405126,0.009359130971133708
2,cascade,200,0.020359950121492148,0.013925294522196055
2,ddf,200,0.01055617082864046,0.008051894539967179
4,sparse_fbp,200,0.06564721923321486,0.03498494878411293
4,redcnn,200,0.06465865515172481,0.03427308790385723
4,dudotrans,200,0.016483739018440247,0.010919918287545443
4,cascade,200,0.02137766482308507,0.014408315801993012
4,ddf,200,0.013400144912302493,0.009809251753613352
8,sparse_fbp,200,0.08281713925302028,0.04733031470328569
8,redcnn,200,0.08227472268044948,0.046846585795283315
8,dudotrans,200,0.024054466653615235,0.014974782667122781
8,cascade,200,0.025724755506962536,0.016570981573313475
8,ddf,200,0.01310598419047892,0.009562234794721007
12,sparse_fbp,200,0.09716982766985893,0.057716642171144486
12,redcnn,200,0.09679701738059521,0.05745269868522882
12,dudotrans,200,0.07320444090291858,0.04780413569882512
12,cascade,200,0.027825011759996413,0.017623420283198358
12,ddf,200,0.014212880646809936,0.010283518433570862
