method,sparse_factor,psnr,ssim,rmse,mae,num_samples,checkpoint
sparse_fbp,2,24.847546815872192,0.7929802292585373,0.055276169031858446,0.027960548754781486,200,
redcnn,2,24.94657883644104,0.7981119096279145,0.05463895604014397,0.027764293663203717,200,/autodl-fs/data/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
cascade,2,33.50773056983948,0.8927070158720016,0.020359950121492148,0.013925294522196055,200,weights/cascade_original_S2.pth
ddf,2,39.29863739013672,0.9542168778181076,0.01055617082864046,0.008051894539967179,200,weights/DDF_c2_best.pth
sparse_fbp,4,23.36901668548584,0.716775461435318,0.06564721923321486,0.03498494878411293,200,
redcnn,4,23.49787660598755,0.728023698925972,0.06465865515172481,0.03427308790385723,200,/autodl-fs/data/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
cascade,4,33.09800542831421,0.8819895577430725,0.02137766482308507,0.014408315801993012,200,weights/cascade_original_S4.pth
ddf,4,37.250206279754636,0.9338299334049225,0.013400144912302493,0.009809251753613352,200,weights/DDF_c4_best.pth
sparse_fbp,8,21.35612635612488,0.6191300624608993,0.08281713925302028,0.04733031470328569,200,
redcnn,8,21.413099727630616,0.6278647899627685,0.08227472268044948,0.046846585795283315,200,/autodl-fs/data/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
cascade,8,31.48272479057312,0.8544894737005234,0.025724755506962536,0.016570981573313475,200,weights/cascade_original_S8.pth
ddf,8,37.44427515983582,0.938343425989151,0.01310598419047892,0.009562234794721007,200,weights/DDF_c8_best.pth
sparse_fbp,12,19.96534791946411,0.5667243313789367,0.09716982766985893,0.057716642171144486,200,
redcnn,12,19.99815873146057,0.5739481961727142,0.09679701738059521,0.05745269868522882,200,/autodl-fs/data/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
cascade,12,30.799793910980224,0.8413590168952942,0.027825011759996413,0.017623420283198358,200,weights/cascade_original_S12.pth
ddf,12,36.70761610031128,0.9308573412895202,0.014212880646809936,0.010283518433570862,200,weights/DDF_c12_best.pth
