sparse_factor,method,n,psnr_mean,ssim_mean
2,sparse_fbp,200,24.847546825408937,0.7929802277684211
2,redcnn,200,24.9465851688385,0.7981119495630264
2,dudotrans,200,37.55442718762934,0.9329662391998896
2,cascade,200,33.507724924087526,0.8927071082592011
2,ddf,200,39.298657264709476,0.9542170032858849
4,sparse_fbp,200,23.369016656875612,0.7167754605412483
4,redcnn,200,23.497875080108642,0.7280233258008957
4,dudotrans,200,35.68982890737744,0.9185412586936321
4,cascade,200,33.098022651672366,0.8819894716143608
4,ddf,200,37.2502104473114,0.9338298854231835
8,sparse_fbp,200,21.35612639427185,0.6191300600767136
8,redcnn,200,21.41310311317444,0.6278654110431671
8,dudotrans,200,32.40679833430388,0.8855000154462712
8,cascade,200,31.482729091644288,0.8544894900918006
8,ddf,200,37.444280853271486,0.9383433213829995
12,sparse_fbp,200,19.965347909927367,0.5667243248224259
12,redcnn,200,19.998158903121947,0.5739480382204056
12,dudotrans,200,22.730804393370164,0.6749776091582547
12,cascade,200,30.799813375473022,0.8413592359423637
12,ddf,200,36.707616786956784,0.9308573302626609
